ImageUrl,Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
https://rukminim1.flixcart.com/image/312/312/j2z1fgw0/mobile/k/r/r/vivo-v5s-1713-original-imaeu5e8fhd8yjhn.jpeg?q=70,"Vivo V5s Perfect Selfie (Crown Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,"18,990"
https://rukminim1.flixcart.com/image/312/312/j9u8lu80/mobile/q/v/h/motorola-moto-x4-pa8t0002in-original-imaezk6g4pazpe4r.jpeg?q=70,"Motorola X4 (Super Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,13.21 cm (5.2 inch) Full HD Display,12MP + 8MP | 16MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 630 Processor,"9,489"
https://rukminim1.flixcart.com/image/312/312/jsdj8nk0/mobile/q/7/y/samsung-galaxy-s10-plus-sm-g975fzkdins-original-imafdys4n9mcakms.jpeg?q=70,"Samsung Galaxy S10 Plus (Prism Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Quad HD+ Display,16MP + 12MP | 10MP + 8MP Dual Front Camera,4100 mAh Lithium-ion Battery,Exynos 9 9820 Processor,"73,799"
https://rukminim1.flixcart.com/image/312/312/jhuvjww0/mobile/h/a/g/vivo-y83-1802-original-imaf5s86fzfz9tfw.jpeg?q=70,"Vivo Y83 (Gold, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3260 mAh Li-ion Battery,Mediatek Helio P22 Processor,"15,990"
https://rukminim1.flixcart.com/image/312/312/mobile/m/f/7/lenovo-vibe-x2-original-imaefghyf5z7r4td.jpeg?q=70,"Lenovo X2-AP (Gold, 32 GB)",2 GB RAM | 32 GB ROM |,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,2300 mAh Li-Polymer Battery,MediaTek 6595M Processor,"17,499"
https://rukminim1.flixcart.com/image/312/312/mobile/3/p/g/lg-g2-32-gb-original-imadte23dppph2gz.jpeg?q=70,"LG G2 D802 (Black Gold, 16 GB)",2 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 2.1MP Front Camera,3000 mAh SiO+ Li-Polymer Battery,Qualcomm Snapdragon 800 Processor,"31,971"
https://rukminim1.flixcart.com/image/312/312/jnun1jk0/mobile/q/c/h/lg-q-stylus-lmq710ybw-aindbk-original-imafa82s4hmzd7fw.jpeg?q=70,"LG Q Stylus (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,15.75 cm (6.2 inch) Full HD+ Display,16MP Rear Camera | 8MP Front Camera,3300 mAh Battery,MediaTek MTK 6750S 1.5 Ghz Octa-core Processor,"20,000"
https://rukminim1.flixcart.com/image/312/312/j81xsi80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-pa8c0023in-original-imaey5hzkryjswmu.jpeg?q=70,"Lenovo K8 Plus (Fine Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP + 5MP | 8MP Front Camera,4000 mAh Battery,MediaTek MTK Helio P25 Octa Core 2.5 GHz Processor,"6,999"
https://rukminim1.flixcart.com/image/312/312/jgl5gnk0/mobile/q/d/2/oppo-a83-2018-edition-na-original-imaf4sk6yq4z4kmv.jpeg?q=70,"OPPO A83 (2018 Edition) (Champagne, 64 GB)",4 GB RAM | 64 GB ROM |,14.48 cm (5.7 inch) Display,13MP Rear Camera | 8MP Front Camera,3180 mAh Battery,MT6763T Processor,"13,990"
https://rukminim1.flixcart.com/image/312/312/mobile/7/g/6/lg-v20-original-imaep9sxprvqmpj5.jpeg?q=70,"LG V20 (Silver, 64 GB)",4 GB RAM | 64 GB ROM |,14.48 cm (5.7 inch) Quad HD Display,16MP Rear Camera | 5MP Front Camera,3200 mAh Battery,Qualcomm Snapdragon 820 MSM8996 64-bit Processor,"29,199"
https://rukminim1.flixcart.com/image/312/312/jij61e80/mobile/m/y/s/samsung-j4-2018-sm-j400fzbdins-original-imaf64fwefbc4che.jpeg?q=70,"Samsung Galaxy J4 (Blue, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Exynos 7570 Processor,"9,600"
https://rukminim1.flixcart.com/image/312/312/mobile/q/z/z/lg-l70-original-imadv2xzthx3yfh7.jpeg?q=70,"LG Optimus L70 (Black, 4 GB)",1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) WVGA Display,5MP Rear Camera | 0.3MP Front Camera,2100 mAh Li-Ion Battery,Snapdragon Processor,"12,791"
https://rukminim1.flixcart.com/image/312/312/j5crukw0/mobile/h/s/j/samsung-j7-nxt-sm-j701fzddins-original-imaew2enzf5qytsg.jpeg?q=70,"Samsung Galaxy J7 Nxt (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Exynos Octa-Core 1.6 GHz Processor,"10,990"
https://rukminim1.flixcart.com/image/312/312/mobile/7/q/2/motorola-moto-x-2nd-generation-xt1092-original-imaenhhgwjq698hh.jpeg?q=70,"Motorola X (2nd Generation) (Black, 32 GB)",2 GB RAM | 32 GB ROM |,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 2MP Front Camera,2300 mAh Li-Ion Battery,Qualcomm Snapdragon 801 MSM8974-AC Processor,"24,999"
https://rukminim1.flixcart.com/image/312/312/mobile/f/e/8/motorola-xt1092-original-imadzua6ts7an39g.jpeg?q=70,"Motorola X (2nd Generation) (Black Leather, 16 GB)",2 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 2MP Front Camera,2300 mAh Li-Ion Battery,Qualcomm Snapdragon 801 MSM8974-AC Processor,"23,999"
https://rukminim1.flixcart.com/image/312/312/j1nvwcw0/mobile/3/r/h/samsung-galaxy-s8-plus-sm-g955f-original-imaet6mkkx57tjwf.jpeg?q=70,"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3500 mAh Battery,Exynos 8895 Octa Core 2.3GHz Processor,"53,990"
https://rukminim1.flixcart.com/image/312/312/jrs3mvk0/mobile/y/y/c/mi-a2-a2-original-imafdhvm44ehzuzz.jpeg?q=70,"Xiaomi A2 (Rose Gold, 64 GB)",4 GB RAM | 64 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"9,999"
https://rukminim1.flixcart.com/image/312/312/jpr86fk0/mobile-refurbished/s/j/s/3-1-16-d-1070-nokia-2-original-imafbtsnutmkh4dc.jpeg?q=70,"Nokia 3.1 (Black, 32 GB)",3 GB RAM | 32 GB ROM |,13.21 cm (5.2 inch) HD Display,13MP Rear Camera,2990 mAh Battery,1 Year Warranty,"7,899"
https://rukminim1.flixcart.com/image/312/312/jqv8ia80/mobile/z/y/8/lenovo-k8-note-xt-1902-3-original-imafcsgmgqcqxaaj.jpeg?q=70,"Lenovo K8 Note (Venom Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP + 5MP | 13MP Front Camera,4000 mAh Battery,MTK X23 Processor,"8,790"
https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/p/3/a/galaxy-a20s-32-a-sm-a207fzbdins-samsung-3-original-imafkx2dygmrbhah.jpeg?q=70,"Samsung Galaxy A20s (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 8MP + 5MP | 8MP Front Camera,4000 mAh Lithium Ion Battery,Qualcomm SDM450-B01 Processor,"11,890"
https://rukminim1.flixcart.com/image/312/312/mobile/4/c/c/lg-g-pro-2-d838-original-imadvrmbrc4g2yca.jpeg?q=70,"LG G Pro 2 (Titan, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 64 GB,14.99 cm (5.9 inch) Full HD Display,13MP Rear Camera | 2.1MP Front Camera,3200 mAh Battery,Qualcomm MSM8974 Snapdragon 800 Krait 400 Processor,"42,021"
